TestClip DecodingThread(s) DecodingTime(ms) DecodingFPS ViewerFPS
dual144 1 249 522.34 261.17
dual288 1 877 148.25 74.12
dual576 1 3855 33.72 16.86
dual720 1 8754 14.85 7.43
golf25 1 827 241.80 30.23
golf25dual 1 199 251.13 125.56
golf623 1 26344 189.19 23.65
race81 1 3773 171.73 21.47
single144 1 115 563.08 563.08
single288 1 363 178.94 178.94
single576 1 1489 43.65 43.65
single720 1 3343 19.44 19.44
