DecodingThreads dual144 dual288 dual576 dual720 golf25 golf25dual golf623 race81 single144 single288 single576 single720
1 1.13642917785274 1.07859504162881 1.12652285389543 1.12738582286837 1.08120545209709 1.06471867358181 1.12928669410151 1.13383832624662 1.24125833468417 1.10748768231401 1.10791050490548 1.09728831885057
2 1.99102391959799 2.15453997259023 1.86861910132339 1.80758846057668 2.1154019714943 2.11811055276382 2.0313054206184 2.23675989908047 1.86188750202626 1.94254523956682 2.07097596466338 1.57338235648832
3 2.64763819095478 2.95251774021624 2.37228381909548 2.13828796154687 3.10948184531681 2.55259476871537 2.55841507235117 3.09804100964594 1.83233373215283 1.94254523956682 1.94390563784983 1.51767476511016
4 3.19074346089422 3.50759107537689 2.03858339821795 1.88018705209898 3.77681356554462 3.2113289025774 2.61012582978302 3.4971398978209 1.86188750202626 2.12430385847365 2.44504387289486 1.94498982404752
