Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Number of Calls,
"ChromaVerFilter(struct CodingPictInfo *,struct macroblockInfo *,int,unsigned char (* const)[4][4])",896.01,533.86,23.98,8.70,0.42,0.25,1.01,0.37,"210,600",
"CreateSemaphoreW",0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,512,
"CreateThread",2.44,2.44,0.00,0.00,0.00,0.00,0.00,0.00,33,
"decodeframe_b(void *)","47,158.80",0.29,"2,264.18",0.29,22.36,0.00,95.67,0.01,26,
"decodeframe_i(void *)","1,858.66",0.02,84.70,0.02,0.88,0.00,3.58,0.00,5,
"DispatchTask(struct CodingPictInfo *)",8.12,0.37,0.58,0.11,0.00,0.00,0.02,0.00,130,
"do_16x16_luma_prediction(struct predictInfo *,unsigned char (* const)[16],unsigned char)",2.26,2.26,2.24,2.24,0.00,0.00,0.09,0.09,"21,359",
"do_4x4_luma_prediction(unsigned char * const,unsigned char (* const)[4],unsigned char)",0.31,0.31,0.30,0.30,0.00,0.00,0.01,0.01,"18,880",
"do_8x8_chroma_prediction(unsigned char const * const,unsigned char (* const)[8],unsigned char)",291.99,291.99,1.29,1.29,0.14,0.14,0.05,0.05,"52,858",
"do_8x8_luma_prediction(unsigned char *,unsigned char *,int,unsigned char (* const)[8],unsigned char)",1.85,1.85,1.85,1.85,0.00,0.00,0.08,0.08,"15,560",
"DoProcessDB(struct CodingPictInfo &)","47,128.63",0.24,"2,263.51",0.23,22.34,0.00,95.64,0.01,124,
"DoProcessDI(struct CodingPictInfo &)","1,858.08",0.03,84.64,0.00,0.88,0.00,3.58,0.00,6,
"eg_read_se",0.04,0.03,0.01,0.01,0.00,0.00,0.00,0.00,310,
"Filter(unsigned char *,int,int,int,unsigned char,bool)","2,357.80","2,357.80",101.92,101.92,1.12,1.12,4.31,4.31,"6,215,308",
"FilterMB(struct CodingPictInfo *,struct macroblockInfo *,int)","13,720.91","4,166.85",236.71,25.12,6.50,1.98,10.00,1.06,"210,600",
"FrameController_Parallel::GetNextProcessing(void)",0.57,0.45,0.50,0.44,0.00,0.00,0.02,0.02,141,
"FrameController_Parallel::OnFrameComplete(struct CodingPictInfo *)",0.08,0.05,0.08,0.05,0.00,0.00,0.00,0.00,130,
"FrameController_Parallel::ProcessCompleted(void)",0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,142,
"GetCurrentProcessId",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"GetCurrentThreadId",0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,422,
"GetHorFilterStrength(struct CodingPictInfo *,struct macroblockInfo *,int,int)","2,443.86","1,067.23",48.15,33.17,1.16,0.51,2.03,1.40,"3,325,760",
"getRefXY(struct tag_cavlc_ref_list *,int,int,int,int,struct refVector &,bool,int,int)",0.93,0.93,0.92,0.92,0.00,0.00,0.04,0.04,"24,769",
"getRefXYDirectB(struct tag_cavlc_ref_list *,struct refVector *,struct macroblockInfo *,int,int,int,struct refVector *)",377.76,377.76,29.65,29.65,0.18,0.18,1.25,1.25,"582,670",
"GetSystemTimeAsFileTime",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"GetTickCount",0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,263,
"GetVerFilterStrength(struct CodingPictInfo *,struct macroblockInfo *,int,int)","2,610.01","1,803.54",28.74,9.82,1.24,0.86,1.21,0.42,"3,325,760",
"idct4x4_c(short (* const)[4])","2,261.29","2,261.29",316.86,316.86,1.07,1.07,13.39,13.39,"5,028,960",
"idct4x4dc_c(short (* const)[4])",2.02,2.02,2.01,2.01,0.00,0.00,0.08,0.08,"21,359",
"idct8x8(short *)",253.37,253.37,4.66,4.66,0.12,0.12,0.20,0.20,"21,920",
"InitializeCriticalSection",0.07,0.07,0.07,0.07,0.00,0.00,0.00,0.00,259,
"InStream::more_rbsp_data(void)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,
"InStream::ReadPictureParameterSet(struct PictureParametersSet &)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,
"InStream::ReadSequenceParameterSet(struct SequenceParametersSet &)",0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"InStream::ReadSliceHeader(struct SliceParameters &,class ArrayList<int> * &,class SlidingWindow &,int)","50,062.13","1,038.19",1.81,0.81,23.73,0.49,0.08,0.03,130,
"InStream::ReadSlicePrefix(struct SliceParameters &,struct SequenceParametersSet const &)",0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,65,
"InStream::ReadSubsetSequenceParameterSet(struct SequenceParametersSet &)",0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,1,
"InStream::ReadUvlc(void)",0.03,0.02,0.02,0.01,0.00,0.00,0.00,0.00,882,
"InterlockedCompareExchange",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"InterlockedExchange",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"iquant2x2dc_c(short (* const)[2],int)",332.13,332.13,4.67,4.67,0.16,0.16,0.20,0.20,"421,200",
"iquant4x4_c(short (* const)[4],int)","2,176.58","2,176.58",84.48,84.48,1.03,1.03,3.57,3.57,"5,028,960",
"iquant4x4dc_c(short (* const)[4],int)",260.14,260.14,0.32,0.32,0.12,0.12,0.01,0.01,"21,359",
"iquant8x8_c(short *,int)",2.34,2.34,2.31,2.31,0.00,0.00,0.10,0.10,"21,920",
"ISliceDecode(struct CodingPictInfo *,struct Bitstream *)","1,857.90",8.46,84.57,2.47,0.88,0.00,3.57,0.10,6,
"LumaHorFilter(struct CodingPictInfo *,struct macroblockInfo *,int,unsigned char (* const)[4][4])",921.17,573.50,49.05,14.34,0.44,0.27,2.07,0.61,"210,600",
"LumaVerFilter(struct CodingPictInfo *,struct macroblockInfo *,int,unsigned char (* const)[4][4])","1,914.16",539.37,53.75,13.15,0.91,0.26,2.27,0.56,"210,600",
"macroblock_processor_I(void *)",298.52,0.12,43.65,0.09,0.14,0.00,1.84,0.00,216,
"macroblock_processor_PB(void *)","32,458.37",568.72,"1,893.56",6.02,15.39,0.27,80.01,0.25,"4,464",
"macroblock_read_cavlc_B_slice(struct Bitstream *,struct refVector *,struct macroblockInfo *,struct CodingPictInfo *,struct tag_cavlc_ref_list *)","2,041.34",285.02,102.98,37.29,0.97,0.14,4.35,1.58,"155,520",
"macroblock_read_cavlc_P_slice(struct Bitstream *,struct macroblockInfo *,struct CodingPictInfo *,struct tag_cavlc_ref_list *)",322.70,9.06,16.98,8.92,0.15,0.00,0.72,0.38,"45,360",
"macroblock_read_cavlc_PB_y(struct Bitstream *,struct macroblockInfo *,struct tag_cavlc_ref_list *)",308.84,2.31,3.58,2.26,0.15,0.00,0.15,0.10,"15,493",
"macroblock_read_cavlc_uv(struct Bitstream *,struct macroblockInfo *,struct tag_cavlc_ref_list *)",2.08,1.32,1.93,1.31,0.00,0.00,0.08,0.06,"41,922",
"macroblockGetHalfPel(struct PBPredictInfo *,int,int)",132.79,132.79,132.47,132.47,0.06,0.06,5.60,5.60,"148,552",
"macroblockGetPred_axb(int,struct refVector const &,struct PBPredictInfo *,struct macroblockdata *,int,int,int,int)","19,251.68","2,313.23",976.13,181.29,9.13,1.10,41.25,7.66,"1,316,239",
"macroblockGetPred_axb_Bi(struct refVector const &,struct refVector const &,struct PBPredictInfo *,struct macroblockdata *,int,int,int,int)","16,582.26",134.24,941.75,133.42,7.86,0.06,39.79,5.64,"571,944",
"macroblockInterDecode_uv(short (* const)[8][8],int,short (* const)[4][16],short (* const)[4])","2,616.21",540.17,191.67,67.05,1.24,0.26,8.10,2.83,"184,171",
"macroblockInterDecode16x16_y(short (* const)[16],int,struct macroblockInfo *)","7,493.81","3,188.69",298.98,54.34,3.55,1.51,12.63,2.30,"184,171",
"macroblockIntraDecode_uv(struct macroblockdata *,int,struct predictInfo *,struct macroblockInfo *)",855.43,299.91,33.44,14.24,0.41,0.14,1.41,0.60,"26,429",
"macroblockIntraDecode_y(struct macroblockdata *,int,struct predictInfo *,struct macroblockInfo *)",834.03,280.37,71.41,26.87,0.40,0.13,3.02,1.14,"26,429",
"macroblockPBPrediction(struct CodingPictInfo *,struct PBPredictInfo *,struct macroblockdata *,struct macroblockInfo *,struct macroblockdata *)","20,214.84",828.92,"1,180.50",70.95,9.58,0.39,49.88,3.00,"184,171",
