DecodingThreads dual144 dual288 dual576 dual720 golf25 golf25dual golf623 race81 single144 single288 single576 single720
1 0.939162226225468 0.951082178789829 0.920697684745677 0.897861632263884 1.23083656377124 1.27629738435769 0.922312082064209 0.928954689746123 1.47996186058497 1.16056217188177 1.13406833099236 1.16903409354465
2 1.76509212730318 1.24559342165372 1.52309806638884 1.72393676931329 2.30396147870271 2.55259476871537 1.82475583569994 1.80287336347289 1.83233373215283 1.78066646960292 1.51170732852078 1.56162424452951
3 2.64763819095478 2.6734688074519 2.03966201377257 1.88667045572691 3.10948184531681 3.2113289025774 2.37804657880484 2.65359630784019 1.83233373215283 1.94254523956682 1.90657070242378 1.5623539754849
4 3.19074346089422 3.12063262933887 1.82699583224178 1.76175305183596 4.0744934524841 4.23622110552764 2.62625859834513 3.21963647589484 1.83233373215283 2.11195325464532 2.97806343718594 1.52807929960589




